Transformed Features and CoefficientsShahran: degree=10, λ=1                                                  Feature   Coefficient
268                     Area^7 Has_Warehouse Has_Elevator    -18.509106
269                                         Area^6 Room^3     48.867416
270                             Area^6 Room^2 Has_Parking   -138.820226
271                           Area^6 Room^2 Has_Warehouse    -51.476189
272                            Area^6 Room^2 Has_Elevator     68.948021
273                 Area^6 Room Has_Parking Has_Warehouse    121.840728
274                  Area^6 Room Has_Parking Has_Elevator      6.970379
275                Area^6 Room Has_Warehouse Has_Elevator     34.482725
276         Area^6 Has_Parking Has_Warehouse Has_Elevator    102.568288
277                                         Area^5 Room^4      2.329692
278                             Area^5 Room^3 Has_Parking    -57.210636
279                           Area^5 Room^3 Has_Warehouse    -27.398714
280                            Area^5 Room^3 Has_Elevator     21.461990
281               Area^5 Room^2 Has_Parking Has_Warehouse    128.323026
282                Area^5 Room^2 Has_Parking Has_Elevator    -40.080126
283              Area^5 Room^2 Has_Warehouse Has_Elevator     32.840118
284    Area^5 Room Has_Parking Has_Warehouse Has_Elevator   -847.192301
285                                         Area^4 Room^5     33.318448
286                             Area^4 Room^4 Has_Parking     71.334094
287                           Area^4 Room^4 Has_Warehouse     -1.846877
288                            Area^4 Room^4 Has_Elevator     -3.547376
289               Area^4 Room^3 Has_Parking Has_Warehouse   -131.490055
290                Area^4 Room^3 Has_Parking Has_Elevator      0.109547
291              Area^4 Room^3 Has_Warehouse Has_Elevator      5.367708
292  Area^4 Room^2 Has_Parking Has_Warehouse Has_Elevator    222.965195
293                                         Area^3 Room^6     -1.624365
294                             Area^3 Room^5 Has_Parking     51.351843
295                           Area^3 Room^5 Has_Warehouse      0.386804
296                            Area^3 Room^5 Has_Elevator     -5.281655
297               Area^3 Room^4 Has_Parking Has_Warehouse   -130.405565
298                Area^3 Room^4 Has_Parking Has_Elevator      9.453070
299              Area^3 Room^4 Has_Warehouse Has_Elevator     -0.000000
300  Area^3 Room^3 Has_Parking Has_Warehouse Has_Elevator    344.591137
301                                         Area^2 Room^7     -4.035130
302                             Area^2 Room^6 Has_Parking     19.747203
303                           Area^2 Room^6 Has_Warehouse     -0.301266
304                            Area^2 Room^6 Has_Elevator     -3.675748
305               Area^2 Room^5 Has_Parking Has_Warehouse    -53.372417
306                Area^2 Room^5 Has_Parking Has_Elevator     11.064757
307              Area^2 Room^5 Has_Warehouse Has_Elevator     -0.006091
308  Area^2 Room^4 Has_Parking Has_Warehouse Has_Elevator    126.038817
309                                           Area Room^8     -2.515269
310                               Area Room^7 Has_Parking     -3.963188
311                             Area Room^7 Has_Warehouse     -0.855491
312                              Area Room^7 Has_Elevator     -2.033200
313                 Area Room^6 Has_Parking Has_Warehouse     16.448646
314                  Area Room^6 Has_Parking Has_Elevator      9.234738
315                Area Room^6 Has_Warehouse Has_Elevator      0.256918
316    Area Room^5 Has_Parking Has_Warehouse Has_Elevator    -84.235922
317                                                Room^9      0.402233
318                                    Room^8 Has_Parking      1.576470
319                                  Room^8 Has_Warehouse     -0.303167
320                                   Room^8 Has_Elevator     -0.624234
321                      Room^7 Has_Parking Has_Warehouse     -3.717018
322                       Room^7 Has_Parking Has_Elevator      2.907204
323                     Room^7 Has_Warehouse Has_Elevator      0.021899
324         Room^6 Has_Parking Has_Warehouse Has_Elevator      1.761829
325                                               Area^10     36.621236
326                                           Area^9 Room     49.261984
327                                    Area^9 Has_Parking    -67.637688
328                                  Area^9 Has_Warehouse    -10.236790
329                                   Area^9 Has_Elevator      0.206258
330                                         Area^8 Room^2    -43.044348
331                               Area^8 Room Has_Parking    -70.990848
332                             Area^8 Room Has_Warehouse   -142.771322
333                              Area^8 Room Has_Elevator     62.726099
334                      Area^8 Has_Parking Has_Warehouse     93.060915
335                       Area^8 Has_Parking Has_Elevator     13.934092
336                     Area^8 Has_Warehouse Has_Elevator     20.150608
337                                         Area^7 Room^3    -55.209134
338                             Area^7 Room^2 Has_Parking     66.771534
339                           Area^7 Room^2 Has_Warehouse    -18.029590
340                            Area^7 Room^2 Has_Elevator    -32.727574
341                 Area^7 Room Has_Parking Has_Warehouse    -93.057401
342                  Area^7 Room Has_Parking Has_Elevator    -14.493223
343                Area^7 Room Has_Warehouse Has_Elevator     73.949703
344         Area^7 Has_Parking Has_Warehouse Has_Elevator   -205.103337
345                                         Area^6 Room^4      2.479233
346                             Area^6 Room^3 Has_Parking    124.974013
347                           Area^6 Room^3 Has_Warehouse     19.721953
348                            Area^6 Room^3 Has_Elevator    -31.371307
349               Area^6 Room^2 Has_Parking Has_Warehouse   -212.426129
350                Area^6 Room^2 Has_Parking Has_Elevator     46.348779
351              Area^6 Room^2 Has_Warehouse Has_Elevator      9.470531
352    Area^6 Room Has_Parking Has_Warehouse Has_Elevator    296.753270
353                                         Area^5 Room^5     -6.435787
354                             Area^5 Room^4 Has_Parking     30.689012
355                           Area^5 Room^4 Has_Warehouse      6.495304
356                            Area^5 Room^4 Has_Elevator     -7.756945
357               Area^5 Room^3 Has_Parking Has_Warehouse    -84.928879
358                Area^5 Room^3 Has_Parking Has_Elevator      8.760005
359              Area^5 Room^3 Has_Warehouse Has_Elevator     -8.536495
360  Area^5 Room^2 Has_Parking Has_Warehouse Has_Elevator    157.162473
361                                         Area^4 Room^6      4.273516
362                             Area^4 Room^5 Has_Parking     -3.830822
363                           Area^4 Room^5 Has_Warehouse      1.810117
364                            Area^4 Room^5 Has_Elevator     -0.320577
365               Area^4 Room^4 Has_Parking Has_Warehouse      8.575456
366                Area^4 Room^4 Has_Parking Has_Elevator     -1.676327
367              Area^4 Room^4 Has_Warehouse Has_Elevator     -3.418777
368  Area^4 Room^3 Has_Parking Has_Warehouse Has_Elevator     -4.223742
369                                         Area^3 Room^7      6.657348
370                             Area^3 Room^6 Has_Parking    -11.454441
371                           Area^3 Room^6 Has_Warehouse      0.703637
372                            Area^3 Room^6 Has_Elevator      1.036192
373               Area^3 Room^5 Has_Parking Has_Warehouse     36.379077
374                Area^3 Room^5 Has_Parking Has_Elevator     -5.559692
375              Area^3 Room^5 Has_Warehouse Has_Elevator     -0.440666
376  Area^3 Room^4 Has_Parking Has_Warehouse Has_Elevator    -89.744998
377                                         Area^2 Room^8      6.449072
378                             Area^2 Room^7 Has_Parking     -5.669383
379                           Area^2 Room^7 Has_Warehouse      0.503159
380                            Area^2 Room^7 Has_Elevator      0.881380
381               Area^2 Room^6 Has_Parking Has_Warehouse     18.305462
382                Area^2 Room^6 Has_Parking Has_Elevator     -5.087682
383              Area^2 Room^6 Has_Warehouse Has_Elevator     -0.007291
384  Area^2 Room^5 Has_Parking Has_Warehouse Has_Elevator    -41.985210
385                                           Area Room^9      0.502687
386                               Area Room^8 Has_Parking      0.740625
387                             Area Room^8 Has_Warehouse      0.396223
388                              Area Room^8 Has_Elevator      0.536572
389                 Area Room^7 Has_Parking Has_Warehouse     -3.432351
390                  Area Room^7 Has_Parking Has_Elevator     -3.481683
391                Area Room^7 Has_Warehouse Has_Elevator     -0.015496
392    Area Room^6 Has_Parking Has_Warehouse Has_Elevator     21.465467
393                                               Room^10     -0.742815
394                                    Room^9 Has_Parking     -0.499965
395                                  Room^9 Has_Warehouse      0.122721
396                                   Room^9 Has_Elevator      0.167660
397                      Room^8 Has_Parking Has_Warehouse      1.402544
398                       Room^8 Has_Parking Has_Elevator     -1.048398
399                     Room^8 Has_Warehouse Has_Elevator     -0.004317
400         Room^7 Has_Parking Has_Warehouse Has_Elevator     -1.103583
