Transformed Features and CoefficientsPunak: degree=8, λ=0.01                                                  Feature   Coefficient
232  Area^3 Room^2 Has_Parking Has_Warehouse Has_Elevator   -381.983029
233                                         Area^2 Room^6     -0.080399
234                             Area^2 Room^5 Has_Parking   -111.445542
235                           Area^2 Room^5 Has_Warehouse     -4.407567
236                            Area^2 Room^5 Has_Elevator     -3.886105
237               Area^2 Room^4 Has_Parking Has_Warehouse    249.270316
238                Area^2 Room^4 Has_Parking Has_Elevator      8.197172
239              Area^2 Room^4 Has_Warehouse Has_Elevator     10.141136
240  Area^2 Room^3 Has_Parking Has_Warehouse Has_Elevator   -521.071383
241                                           Area Room^7   -110.782208
242                               Area Room^6 Has_Parking    128.379525
243                             Area Room^6 Has_Warehouse    -11.546636
244                              Area Room^6 Has_Elevator     -0.630174
245                 Area Room^5 Has_Parking Has_Warehouse   -283.553653
246                  Area Room^5 Has_Parking Has_Elevator      1.788718
247                Area Room^5 Has_Warehouse Has_Elevator     27.509909
248    Area Room^4 Has_Parking Has_Warehouse Has_Elevator    508.238187
249                                                Room^8     45.175789
250                                    Room^7 Has_Parking      4.940206
251                                  Room^7 Has_Warehouse    -18.480996
252                                   Room^7 Has_Elevator      1.062320
253                      Room^6 Has_Parking Has_Warehouse    -24.964168
254                       Room^6 Has_Parking Has_Elevator     -3.267587
255                     Room^6 Has_Warehouse Has_Elevator     50.042297
256         Room^5 Has_Parking Has_Warehouse Has_Elevator     47.396851
